TEAM_NAME,OPP_TEAM_NAME,SEASON,TEAM_OFF_RATING,TEAM_DEF_RATING,TEAM_PACE,OPP_OFF_RATING,OPP_DEF_RATING,OPP_PACE,ORTG_DIFF,DRTG_DIFF,PACE_DIFF,WON
Atlanta Hawks,Boston Celtics,2015-16,104.6,100.8,97.63,105.8,102.5,99.43,-1.2000000000000028,-1.7000000000000028,-1.8000000000000114,1
Boston Celtics,Atlanta Hawks,2015-16,105.8,102.5,99.43,104.6,100.8,97.63,1.2000000000000028,1.7000000000000028,1.8000000000000114,0
Dallas Mavericks,Oklahoma City Thunder,2015-16,105.5,105.9,95.34,112.1,104.8,97.54,-6.599999999999994,1.1000000000000085,-2.200000000000003,0
Golden State Warriors,Houston Rockets,2015-16,113.5,102.8,100.24,107.3,107.3,98.42,6.200000000000003,-4.5,1.8199999999999932,1
Houston Rockets,Golden State Warriors,2015-16,107.3,107.3,98.42,113.5,102.8,100.24,-6.200000000000003,4.5,-1.8199999999999932,0
Indiana Pacers,Toronto Raptors,2015-16,103.8,102.2,97.35,109.3,104.8,93.35,-5.5,-2.5999999999999943,4.0,1
Oklahoma City Thunder,Dallas Mavericks,2015-16,112.1,104.8,97.54,105.5,105.9,95.34,6.599999999999994,-1.1000000000000085,2.200000000000003,1
Toronto Raptors,Indiana Pacers,2015-16,109.3,104.8,93.35,103.8,102.2,97.35,5.5,2.5999999999999943,-4.0,0
Cleveland Cavaliers,Detroit Pistons,2015-16,110.2,103.9,93.82,105.3,104.9,95.75,4.900000000000006,-1.0,-1.9300000000000068,1
LA Clippers,Portland Trail Blazers,2015-16,107.2,102.7,96.81,107.6,106.8,97.06,-0.3999999999999915,-4.099999999999994,-0.25,1
Miami Heat,Charlotte Hornets,2015-16,105.5,103.7,94.14,106.4,103.7,96.24,-0.9000000000000057,0.0,-2.0999999999999943,1
Portland Trail Blazers,LA Clippers,2015-16,107.6,106.8,97.06,107.2,102.7,96.81,0.3999999999999915,4.099999999999994,0.25,0
San Antonio Spurs,Memphis Grizzlies,2015-16,109.3,98.2,94.54,104.7,107.1,93.95,4.599999999999994,-8.899999999999991,0.5900000000000034,1
Memphis Grizzlies,San Antonio Spurs,2015-16,104.7,107.1,93.95,109.3,98.2,94.54,-4.599999999999994,8.899999999999991,-0.5900000000000034,0
Detroit Pistons,Cleveland Cavaliers,2015-16,105.3,104.9,95.75,110.2,103.9,93.82,-4.900000000000006,1.0,1.9300000000000068,0
Charlotte Hornets,Miami Heat,2015-16,106.4,103.7,96.24,105.5,103.7,94.14,0.9000000000000057,0.0,2.0999999999999943,0
Dallas Mavericks,Oklahoma City Thunder,2015-16,105.5,105.9,95.34,112.1,104.8,97.54,-6.599999999999994,1.1000000000000085,-2.200000000000003,1
Golden State Warriors,Houston Rockets,2015-16,113.5,102.8,100.24,107.3,107.3,98.42,6.200000000000003,-4.5,1.8199999999999932,1
Houston Rockets,Golden State Warriors,2015-16,107.3,107.3,98.42,113.5,102.8,100.24,-6.200000000000003,4.5,-1.8199999999999932,0
Indiana Pacers,Toronto Raptors,2015-16,103.8,102.2,97.35,109.3,104.8,93.35,-5.5,-2.5999999999999943,4.0,0
Oklahoma City Thunder,Dallas Mavericks,2015-16,112.1,104.8,97.54,105.5,105.9,95.34,6.599999999999994,-1.1000000000000085,2.200000000000003,0
Toronto Raptors,Indiana Pacers,2015-16,109.3,104.8,93.35,103.8,102.2,97.35,5.5,2.5999999999999943,-4.0,1
Atlanta Hawks,Boston Celtics,2015-16,104.6,100.8,97.63,105.8,102.5,99.43,-1.2000000000000028,-1.7000000000000028,-1.8000000000000114,1
Boston Celtics,Atlanta Hawks,2015-16,105.8,102.5,99.43,104.6,100.8,97.63,1.2000000000000028,1.7000000000000028,1.8000000000000114,0
San Antonio Spurs,Memphis Grizzlies,2015-16,109.3,98.2,94.54,104.7,107.1,93.95,4.599999999999994,-8.899999999999991,0.5900000000000034,1
Memphis Grizzlies,San Antonio Spurs,2015-16,104.7,107.1,93.95,109.3,98.2,94.54,-4.599999999999994,8.899999999999991,-0.5900000000000034,0
Cleveland Cavaliers,Detroit Pistons,2015-16,110.2,103.9,93.82,105.3,104.9,95.75,4.900000000000006,-1.0,-1.9300000000000068,1
LA Clippers,Portland Trail Blazers,2015-16,107.2,102.7,96.81,107.6,106.8,97.06,-0.3999999999999915,-4.099999999999994,-0.25,1
Miami Heat,Charlotte Hornets,2015-16,105.5,103.7,94.14,106.4,103.7,96.24,-0.9000000000000057,0.0,-2.0999999999999943,1
Portland Trail Blazers,LA Clippers,2015-16,107.6,106.8,97.06,107.2,102.7,96.81,0.3999999999999915,4.099999999999994,0.25,0
Detroit Pistons,Cleveland Cavaliers,2015-16,105.3,104.9,95.75,110.2,103.9,93.82,-4.900000000000006,1.0,1.9300000000000068,0
Charlotte Hornets,Miami Heat,2015-16,106.4,103.7,96.24,105.5,103.7,94.14,0.9000000000000057,0.0,2.0999999999999943,0
Dallas Mavericks,Oklahoma City Thunder,2015-16,105.5,105.9,95.34,112.1,104.8,97.54,-6.599999999999994,1.1000000000000085,-2.200000000000003,0
Golden State Warriors,Houston Rockets,2015-16,113.5,102.8,100.24,107.3,107.3,98.42,6.200000000000003,-4.5,1.8199999999999932,0
Houston Rockets,Golden State Warriors,2015-16,107.3,107.3,98.42,113.5,102.8,100.24,-6.200000000000003,4.5,-1.8199999999999932,1
Indiana Pacers,Toronto Raptors,2015-16,103.8,102.2,97.35,109.3,104.8,93.35,-5.5,-2.5999999999999943,4.0,0
Oklahoma City Thunder,Dallas Mavericks,2015-16,112.1,104.8,97.54,105.5,105.9,95.34,6.599999999999994,-1.1000000000000085,2.200000000000003,1
